,ID,Side,Distance,Transect,Location,GW,NetMin,NetNit,NO3Conc,NH4Conc
61,Mid1 RL 3m,Left,3,1,Mid,2.291060612,0.187799254,0.028622793,483.2601086,1912.604981
62,Mid1 RL 6m,Left,6,1,Mid,2.765432317,1.183036495,1.127026024,199.1004438,948.4123897
63,Mid1 RL 10m,Left,10,1,Mid,2.691648671,0.291164597,0.010101335,560.7005365,7706.417049
64,Mid1 RL 20m,Left,20,1,Mid,2.77585698,-0.016487154,0.002723903,276.4856465,716.1991881
65,Mid2 RL 1m,Left,1,2,Mid,2.684033483,0.266083985,0.071559403,39.59545825,694.6100149
66,Mid2 RL 3m,Left,3,2,Mid,3.611188493,0.213350982,0.275557861,290.2025362,1429.432286
67,Mid2 RL 6m,Left,6,2,Mid,1.077415918,0.059027788,0.079527913,4743.874077,1574.521499
68,Mid2 RL 10m,Left,10,2,Mid,1.645879942,0.128870287,0.154525739,2686.278196,2547.899381
69,Mid2 RL 20m,Left,20,2,Mid,1.544057083,0.519410241,0.225865119,116.237466,948433.1961
70,Low3 RL 1m,Left,1,3,Low,3.983747802,-0.067489802,0.100185956,157.9432689,2040.832299
71,Low3 RL 3m,Left,3,3,Low,2.889579118,0.263683125,0.085924174,101.8306667,18550.10252
72,Low3 RL 6m,Left,6,3,Low,1.632989053,0.198129091,0.065607066,43.35426398,1589.908007
73,Low3 RL 10m,Left,10,3,Low,1.778226261,0.253003681,0.246878001,68.78994422,408.7397235
74,Low3 RL 20m,Left,20,3,Low,1.157920837,0.101904982,0.084411246,97.24305503,1342.878495
75,Mid3 RL 1m,Left,1,3,Mid,1.878387808,0.539857113,0.504470085,45.67523882,3943.754781
76,Mid3 RL 3m,Left,3,3,Mid,5.423400075,0.907011212,1.359727596,135.2978229,567.6247132
77,Mid3 RL 6m,Left,6,3,Mid,5.772298839,0.135343038,0.449332095,258.6960888,340.814319
78,Mid3 RL 20m,Left,20,3,Mid,1.250688086,0.179578001,0.096120136,381.4930585,9871.069552
79,Low2 RL 1m,Left,1,2,Low,3.5853143,0.343086055,-0.012493147,152.8926129,529.8168585
80,Low2 RL 3m,Left,3,2,Low,2.837829269,0.375968083,0.126550117,275.3849084,656.3522968
81,Low2 RL 6m,Left,6,2,Low,1.979148336,0.266919443,0.262503088,234.4068817,7816.961899
82,Low2 RL 10m,Left,10,2,Low,2.753319869,0.248964713,0.181664935,950.8484534,5324.806605
83,Low2 RL 20m,Left,20,2,Low,0.868823717,0.044478918,-0.017232548,748.0723976,1591.299545
84,Low1 RL 1m,Left,1,1,Low,3.970324449,0.433059509,0.430487753,768.093603,3696.563441
85,Low1 RL 3m,Left,3,1,Low,1.746377073,1.739164765,0.890438797,414.903656,2782.213338
86,Low1 RL 6m,Left,6,1,Low,3.172974702,0.194173706,0.2200187,1968.854651,2109.266864
87,Low1 RL 10m,Left,10,1,Low,0.51457727,0.207075933,0.173622657,832.9857375,43800.45593
88,Low1 RL 20m,Left,20,1,Low,1.246129521,0.12454883,0.083169384,770.7545037,809.7942471
,,,,,,,,,123.9533221,702.6958361
,,,,,,,,,96.25184584,1582.442384
